indice_tiempo,produccion_gas_natural_cuenca_austral,produccion_gas_natural_cuenca_gsj,produccion_gas_natural_cuenca_neuquina,produccion_gas_natural_cuenca_noroeste,produccion_gas_natural_cuenca_cuyana,produccion_gas_natural_total,produccion_gas_natural_total_diario,produccion_shale_gas,produccion_tight_gas,participacion_no_convencional
2019-08,1083213.6055,400345.7133,2835408.7958,153629.2577,4512.7958,4477110.1681,144.4229,1104570.9952059999997,888347.127961,44.5135
2019-09,1025426.5698,374980.0948,2585550.1891,148080.4802,4264.2235,4138301.5574,137.9434,1021117.919481000,808485.154267,44.2114
2019-10,1049175.6386,386011.2808,2742708.2894,154623.6464,4412.6883,4336931.5435,139.9010,1093762.305860000,842060.901017,44.6358
2019-11,933831.9262,364349.1722,2358756.6023,148335.1373,4270.0012,3809542.8392,126.9848,854007.757234000,768853.589184,42.5999
2019-12,956701.7568,366061.6708,2453176.2130,152362.7572,4535.3854,3932837.7832,126.8657,918356.630463710,782011.444620,43.2351
2020-01,973515.7046,375510.3083,2531540.3212,152143.4102,4492.5086,4037202.2529,130.2323,1007007.230706000,790313.453240,44.5190
2020-02,901000.7085,341472.3321,2318310.7305,138763.6016,4223.0885,3703770.4612,127.7162,941035.197948000,684037.345814,43.8762
2020-03,967785.5815,383108.3310,2420996.0804,148807.0332,4567.1007,3925264.1268,126.6214,957243.240626000,740325.966010,43.2473
2020-04,881554.3128,360124.4994,2114694.9626,141777.4946,4060.4786,3502211.7480,116.7404,821643.127288000,655814.643887,42.1864
2020-05,1013028.7894,358227.8910,2338840.1706,144543.1041,3970.2989,3858610.2540,124.4713,910475.690315,732219.090314,42.5722
2020-06,981983.2898,338179.1794,2318492.1420,138479.4137,3524.3900,3780658.4149,126.0219,945927.677894500,684883.936671,43.1357
2020-07,998305.9558,338159.8756,2447894.3466,143287.1667,4022.1780,3931669.5227,126.8280,997564.426939950,717481.312107,43.6213
2020-08,985009.3426,328542.3918,2437837.0799,139932.7620,4237.2960,3895558.8723,125.6632,998006.707365870,702656.820788,43.6565
2020-09,957441.9468,331523.0333,2253932.8402,138600.5214,3828.7090,3685327.0507,122.8442,894122.703338200,667178.498326,42.3653
2020-10,994037.0007,340488.0898,2295075.9927,144287.8796,4150.7900,3778039.7528,121.8723,929428.741941700,686739.210631,42.7779
2020-11,932467.9041,325383.9530,2073481.2011,136219.2189,4019.5393,3471571.8164,115.7191,780329.912530100,632051.628088,40.6842
2020-12,948700.7691,336838.4038,2102920.0992,137306.7197,4012.4665,3529778.4583,113.8638,782710.545453100,665896.994164,41.0396
2021-01,966355.7637,340298.5271,2148390.0699,137132.0304,3998.4160,3596174.8071,116.0056,831265.762249700,667980.351330,41.6900
